config,auc_ventana_mean,auc_ventana_std,auc_participante_mean,auc_participante_std
anova_rf,0.5529,0.0257,0.5632,0.0254
rfimportance_rf,0.5441,0.0257,0.5601,0.0344
mutinfo_logreg,0.5435,0.0314,0.5422,0.0381
anovacorr_rf,0.5251,0.0327,0.534,0.0427
mutinfo_rf,0.5202,0.0334,0.5299,0.0253
l1logreg,0.519,0.0112,0.5182,0.0155
