participant,codigo,window,blink_mean,blink_std,blink_p10,blink_p90,eye_squint_mean,eye_squint_std,eye_squint_p10,eye_squint_p90,eye_wide_mean,eye_wide_std,eye_wide_p10,eye_wide_p90,gaze_out_mean,gaze_out_std,gaze_out_p10,gaze_out_p90,gaze_down_mean,gaze_down_std,gaze_down_p10,gaze_down_p90,gaze_up_mean,gaze_up_std,gaze_up_p10,gaze_up_p90,smile_mean,smile_std,smile_p10,smile_p90,frown_mean,frown_std,frown_p10,frown_p90,mouth_press_mean,mouth_press_std,mouth_press_p10,mouth_press_p90,jaw_open_mean,jaw_open_std,jaw_open_p10,jaw_open_p90,brow_down_mean,brow_down_std,brow_down_p10,brow_down_p90,brow_inner_up_mean,brow_inner_up_std,brow_inner_up_p10,brow_inner_up_p90,cheek_squint_mean,cheek_squint_std,cheek_squint_p10,cheek_squint_p90,nose_sneer_mean,nose_sneer_std,nose_sneer_p10,nose_sneer_p90,expresividad_mean,expresividad_std,expresividad_p10,expresividad_p90,yaw_mean,yaw_std,yaw_p10,yaw_p90,pitch_mean,pitch_std,pitch_p10,pitch_p90,roll_mean,roll_std,roll_p10,roll_p90,body_motion_mean,body_motion_std,body_motion_p10,body_motion_p90,hand_motion_mean,hand_motion_std,hand_motion_p10,hand_motion_p90,hand_present_mean,hand_present_std,hand_present_p10,hand_present_p90,blink_rate_min,gaze_aversion_frac,mouth_open_frac,head_motion_mean,hand_visible_frac
001_1053791621,1,0,0.20920506119728088,0.1583264321088791,0.11075140535831451,0.44071242213249207,0.23732918500900269,0.06035256385803223,0.19502688944339752,0.3397105634212494,0.0037663273978978395,0.0017739188624545932,0.000778091954998672,0.0052198376506567,0.2215932011604309,0.0666920617222786,0.13152429461479187,0.28474825620651245,0.3690614402294159,0.1534089744091034,0.22922655940055847,0.6712213754653931,0.01836177334189415,0.009183245711028576,0.004819813184440136,0.02875421941280365,0.031647492200136185,0.0604887492954731,0.0003800852573476732,0.11768361926078796,0.0006331142503768206,0.0020268894731998444,1.264856200577924e-05,0.0006382429855875671,0.1542099267244339,0.10834728926420212,0.05865132808685303,0.36101070046424866,0.002032824559137225,0.001400837441906333,0.0005900764372199774,0.003379695350304246,0.007646299432963133,0.007956983521580696,0.003184061963111162,0.016504772007465363,0.046099308878183365,0.019611075520515442,0.027162740007042885,0.07444474846124649,1.8287748559941974e-07,8.904780912644128e-08,1.0602971656226146e-07,2.4955042476904055e-07,1.7329704178337124e-06,1.157276528829243e-06,9.289482818530814e-07,3.5557538922148524e-06,0.04404149949550629,0.0063362568616867065,0.036102768033742905,0.05234223231673241,-1.980138897895813,1.0539870262145996,-3.235152244567871,-0.6582017540931702,-5.916325092315674,4.254765033721924,-9.656160354614258,2.0061190128326416,3.4910805225372314,2.3428564071655273,0.7546399831771851,6.2019782066345215,0.04864158853888512,0.0613703690469265,0.013282081112265587,0.10875076800584793,0.06460914015769958,0.11659256368875504,0.0041805449873209,0.09730271250009537,0.11999999731779099,0.32496151328086853,0.0,1.0,36.0,0.67,0.0,0.7586369514465332,0.11999999731779099
001_1053791621,1,1,0.29038891196250916,0.18177933990955353,0.10788168758153915,0.6370171904563904,0.29081934690475464,0.09698300808668137,0.20097339153289795,0.44497284293174744,0.0030087975319474936,0.0024596189614385366,0.00041443295776844025,0.0064781359396874905,0.2572633922100067,0.09691474586725235,0.15013709664344788,0.42474785447120667,0.44761306047439575,0.17245158553123474,0.2716776430606842,0.7438251972198486,0.015058075077831745,0.010547076351940632,0.003809552639722824,0.026715200394392014,0.3142966032028198,0.21544182300567627,0.023054488003253937,0.5995644330978394,0.0003759748942684382,0.0008279421599581838,1.6055522792157717e-05,0.0008819123031571507,0.05865953117609024,0.040799107402563095,0.024053972214460373,0.0997399166226387,0.0035088863223791122,0.006096427328884602,0.0003466421039775014,0.008746297098696232,0.028427254408597946,0.020622143521904945,0.008443969301879406,0.052737120538949966,0.07844646275043488,0.13712376356124878,0.017439642921090126,0.12336567044258118,2.5087615540542174e-07,1.5984238643795834e-07,1.1295354340745689e-07,4.11029560609677e-07,2.2329159037326463e-06,8.381951488445338e-07,1.3748330047747004e-06,3.534982624842087e-06,0.06153373420238495,0.02633843384683132,0.024281000718474388,0.09919165074825287,-2.09414005279541,1.103513479232788,-3.5663604736328125,-0.5719834566116333,-10.16091537475586,2.6812148094177246,-13.599126815795898,-6.446131229400635,1.0974689722061157,2.6250739097595215,-2.130683660507202,3.8134765625,0.04066017270088196,0.04226157069206238,0.01401145476847887,0.06657157093286514,0.24824337661266327,0.2053171545267105,0.12749060988426208,0.46068984270095825,0.05000000074505806,0.2179449498653412,0.0,0.0,30.0,0.96,0.0,1.5063356161117554,0.05000000074505806
001_1053791621,1,2,0.3608185946941376,0.2065635323524475,0.1759999692440033,0.7253009080886841,0.28982973098754883,0.10046467185020447,0.19501076638698578,0.4568140208721161,0.0020703808404505253,0.001557864947244525,0.0002800610673148185,0.003607829101383686,0.19771848618984222,0.06789210438728333,0.11715719848871231,0.2606411874294281,0.561654806137085,0.17404496669769287,0.3654926121234894,0.8362751603126526,0.00877753458917141,0.005546133499592543,0.001726962043903768,0.01606806367635727,0.2103777527809143,0.171382874250412,0.027705028653144836,0.4647310674190521,0.0006107462686486542,0.0018602391937747598,2.0454970581340604e-05,0.0011539937695488334,0.08415626734495163,0.06657642126083374,0.03157813102006912,0.18484994769096375,0.003522425191476941,0.008690375834703445,0.0003774031647481024,0.0065312981605529785,0.023683201521635056,0.027490312233567238,0.0041515459306538105,0.03865167498588562,0.08460818231105804,0.08689892292022705,0.02179574780166149,0.1594134420156479,2.542259665005986e-07,1.8880442098634376e-07,1.016610085002867e-07,5.050126787864428e-07,2.6730022000265308e-06,1.621090859771357e-06,1.2275454537302721e-06,3.893029315804597e-06,0.05169166624546051,0.022092068567872047,0.02639625407755375,0.08510658890008926,-2.3698620796203613,0.7739847898483276,-3.2062268257141113,-1.5141775608062744,-8.917116165161133,1.4746149778366089,-10.588868141174316,-6.962375640869141,-1.2704534530639648,3.5686745643615723,-6.211550712585449,2.21307110786438,0.037446193397045135,0.03516821190714836,0.014234761707484722,0.06387887895107269,,,,,0.009999999776482582,0.09949874877929688,0.0,0.0,42.0,0.97,0.0,1.175305724143982,0.009999999776482582
001_1053791621,1,3,0.2830321788787842,0.16981647908687592,0.11167138814926147,0.5159271359443665,0.27471983432769775,0.09765420854091644,0.1941736787557602,0.39329788088798523,0.0030456725507974625,0.002615180565044284,0.0007152189500629902,0.0064801317639648914,0.19458258152008057,0.03867923840880394,0.14401522278785706,0.23652859032154083,0.5090815424919128,0.14077234268188477,0.3540281057357788,0.7259719371795654,0.010698387399315834,0.005271775182336569,0.0038627965841442347,0.018343795090913773,0.37418434023857117,0.1972293108701706,0.06077933311462402,0.5923944115638733,0.0001229409099323675,0.00019621661340352148,1.235832769452827e-05,0.0003426050243433565,0.052161380648612976,0.03662458807229996,0.023739775642752647,0.08473383635282516,0.004736803937703371,0.014140552841126919,0.00037215082556940615,0.006704162806272507,0.016211487352848053,0.011626934632658958,0.0017934030620381236,0.033278219401836395,0.10612811148166656,0.12223663181066513,0.021748630329966545,0.1927858591079712,2.6850912604459154e-07,2.0515906840046227e-07,8.99852921065758e-08,4.971947191734216e-07,2.2977778826316353e-06,8.751085260882974e-07,1.2717241588688921e-06,3.531481979734963e-06,0.07625117152929306,0.029889103025197983,0.03684902936220169,0.10228931903839111,-1.8925226926803589,0.7730836272239685,-2.8057703971862793,-0.9511908888816833,-6.601096153259277,1.600135326385498,-8.427842140197754,-4.5652570724487305,-0.6044005155563354,3.013460159301758,-3.859384298324585,2.4481070041656494,0.03153638914227486,0.03237006813287735,0.009794927202165127,0.05046352371573448,,,,,0.0,0.0,0.0,0.0,18.0,1.0,0.0,1.4631189107894897,0.0
001_1053791621,1,4,0.3374083638191223,0.21015872061252594,0.17744092643260956,0.74082350730896,0.3048940598964691,0.11592965573072433,0.22464007139205933,0.5213308930397034,0.002969739492982626,0.0049775512889027596,0.00030185774085111916,0.003736328799277544,0.19736352562904358,0.062119532376527786,0.1097068339586258,0.2752891778945923,0.5230972170829773,0.17828066647052765,0.3391580581665039,0.83877032995224,0.010901689529418945,0.006047848612070084,0.001924795564264059,0.019653141498565674,0.34342682361602783,0.1683885008096695,0.10305142402648926,0.5425112247467041,0.00028288678731769323,0.0004674227675423026,1.1618149983405601e-05,0.0008515279041603208,0.1623663753271103,0.1925664097070694,0.02714097499847412,0.5240565538406372,0.004025401547551155,0.006051565520465374,0.0003874252724926919,0.015331055968999863,0.013467458076775074,0.007821712642908096,0.003512417431920767,0.023561345413327217,0.12145170569419861,0.20087622106075287,0.0344182513654232,0.13671039044857025,3.5501290085449e-07,2.9657101663360663e-07,1.1177623093772127e-07,9.231187618752301e-07,2.1398032004071865e-06,9.082652354663878e-07,1.1453041679487797e-06,3.043482820430654e-06,0.07583554089069366,0.036572422832250595,0.03945203125476837,0.0988965854048729,-1.595089077949524,1.3077393770217896,-3.277381658554077,0.2395283728837967,-6.460418701171875,2.7924797534942627,-9.492067337036133,-3.223555088043213,2.1274032592773438,3.917494535446167,-1.92857027053833,4.943315029144287,0.02660447172820568,0.01411338523030281,0.010626222006976604,0.0434974767267704,,,,,0.0,0.0,0.0,0.0,36.0,1.0,0.0,1.2449958324432373,0.0
001_1053791621,1,5,0.27693983912467957,0.15478745102882385,0.1641511619091034,0.5103579163551331,0.2923118472099304,0.0812847912311554,0.21219012141227722,0.40547266602516174,0.002483529970049858,0.0010945338290184736,0.0007056097383610904,0.0034398820716887712,0.16507010161876678,0.09545333683490753,0.07100153714418411,0.28761887550354004,0.4468330144882202,0.15272045135498047,0.29085978865623474,0.6510986685752869,0.014033619314432144,0.006211124826222658,0.005038816947489977,0.021085333079099655,0.33587607741355896,0.29639118909835815,0.004101213999092579,0.7330003380775452,0.00021312158787623048,0.0002657092409208417,1.206647721119225e-05,0.00045169980148784816,0.10226532816886902,0.0900668203830719,0.027775583788752556,0.2076338529586792,0.0027118229772895575,0.005122873932123184,0.0003958223678637296,0.004852314479649067,0.020922893658280373,0.016660252586007118,0.005066394340246916,0.04342690110206604,0.05572885647416115,0.03867777809500694,0.020706310868263245,0.10463061928749084,2.5443344497944054e-07,1.6976473204977083e-07,8.276817453634067e-08,5.210192171034578e-07,1.7534287053422304e-06,6.482460435108806e-07,1.0216499504167587e-06,2.5321446628367994e-06,0.06596061587333679,0.029676241800189018,0.029153048992156982,0.10362765192985535,-0.3871241807937622,1.079352855682373,-1.8321864604949951,0.8363008499145508,-5.7521467208862305,2.4634475708007812,-8.387699127197266,-2.1471304893493652,1.2945600748062134,2.8554444313049316,-2.807314157485962,4.159310817718506,0.026867268607020378,0.013421755284070969,0.010831546038389206,0.042441267520189285,,,,,0.0,0.0,0.0,0.0,36.0,0.84,0.0,0.972648024559021,0.0
001_1053791621,1,6,0.27946150302886963,0.15575706958770752,0.11505869776010513,0.5286863446235657,0.24804317951202393,0.06447882205247879,0.17914536595344543,0.3247428834438324,0.0029854881577193737,0.0025836853310465813,0.0005834539188072085,0.006155119277536869,0.22807684540748596,0.04485563933849335,0.17771750688552856,0.27734270691871643,0.47305870056152344,0.1413736641407013,0.3231152296066284,0.6945487260818481,0.012126123532652855,0.007144221570342779,0.0038275839760899544,0.019550364464521408,0.15922056138515472,0.1443036049604416,0.011438793502748013,0.40038785338401794,0.0003634802997112274,0.0006488068029284477,3.120656401733868e-05,0.0009412902290932834,0.0819787010550499,0.05787831172347069,0.04170259088277817,0.12013941258192062,0.002132452791556716,0.0020103619899600744,0.00041629126644693315,0.005135870538651943,0.02281511016190052,0.011089453473687172,0.010755810886621475,0.03753025457262993,0.059230610728263855,0.06432875990867615,0.02372179739177227,0.08972708135843277,2.3694404660545842e-07,1.206156525768165e-07,1.0962695995431204e-07,4.117233629585826e-07,2.631898951221956e-06,7.62162642331532e-07,1.760123495841981e-06,3.4890374536189483e-06,0.039052605628967285,0.016768036410212517,0.021858738735318184,0.06406732648611069,-1.5571186542510986,0.44854679703712463,-2.1224989891052246,-0.9604061841964722,-7.876449108123779,1.7458258867263794,-10.376433372497559,-5.507857322692871,-1.2093619108200073,2.138118267059326,-3.927737236022949,1.7173744440078735,0.03804373741149902,0.0399831123650074,0.013120027258992195,0.054753609001636505,0.07193636149168015,0.07463416457176208,0.007209829520434141,0.1271207183599472,0.11999999731779099,0.32496151328086853,0.0,1.0,42.0,0.92,0.0,1.0961743593215942,0.11999999731779099
001_1053791621,1,7,0.23239105939865112,0.12165318429470062,0.14313998818397522,0.36201995611190796,0.24688732624053955,0.042867958545684814,0.1941729187965393,0.28624072670936584,0.002837025560438633,0.0011444395640864968,0.0012906416086480021,0.004440131597220898,0.19674983620643616,0.052382562309503555,0.11181630939245224,0.24961191415786743,0.4213901460170746,0.12253139168024063,0.2924552857875824,0.6025157570838928,0.014348375611007214,0.0058544413186609745,0.00594750652089715,0.021387720480561256,0.17779198288917542,0.17279450595378876,0.0012853416847065091,0.45294076204299927,0.0012906385818496346,0.0030891604255884886,1.0838256457645912e-05,0.004153863061219454,0.21368858218193054,0.15236914157867432,0.04372185096144676,0.4100496470928192,0.002626359462738037,0.0038076655473560095,0.0003817619290202856,0.005461829714477062,0.019319210201501846,0.013006622903048992,0.00811229832470417,0.04194134101271629,0.04930448532104492,0.07474770396947861,0.015485958196222782,0.0744517594575882,2.3160373530117795e-07,1.570228107539151e-07,9.568213243937862e-08,4.479587119021744e-07,1.485713596593996e-06,8.620642688583757e-07,6.090748456699657e-07,2.470200342941098e-06,0.046528443694114685,0.021946728229522705,0.02669299766421318,0.07357081770896912,0.2090975046157837,1.2072855234146118,-1.5711605548858643,1.7300052642822266,-6.969184398651123,1.7022665739059448,-8.993054389953613,-4.9245829582214355,1.3383747339248657,3.8324053287506104,-3.4117937088012695,5.250833034515381,0.024747096002101898,0.012104987166821957,0.010948938317596912,0.03957656770944595,,,,,0.0,0.0,0.0,0.0,30.0,0.89,0.0,1.0127588510513306,0.0
001_1053791621,1,8,0.28711095452308655,0.20343095064163208,0.09628105908632278,0.6589421033859253,0.2620368003845215,0.11864815652370453,0.12597155570983887,0.4642511010169983,0.00520329037681222,0.008569018915295601,0.00037355528911575675,0.008625714108347893,0.23397023975849152,0.09869029372930527,0.123164102435112,0.3868239223957062,0.5189453959465027,0.17223691940307617,0.3071224093437195,0.8094963431358337,0.01096190232783556,0.0071454644203186035,0.002372728195041418,0.02175857499241829,0.24172748625278473,0.21865664422512054,0.009871086105704308,0.5971201062202454,0.00037317891838029027,0.001119990018196404,1.9198525478714146e-05,0.0007210440817289054,0.08136442303657532,0.05823564901947975,0.0231311172246933,0.15990808606147766,0.006719204597175121,0.008799316361546516,0.0005088397301733494,0.016681499779224396,0.01782580465078354,0.024873513728380203,0.0006851583020761609,0.038196638226509094,0.19329160451889038,0.23488593101501465,0.02644081600010395,0.602479875087738,4.3874808852706337e-07,4.4304337620815204e-07,1.209117073130983e-07,9.614116152079077e-07,2.868365299946163e-06,1.206779757012555e-06,1.5636611578884185e-06,4.206404810247477e-06,0.06526408344507217,0.036408502608537674,0.025591908022761345,0.11250818520784378,-1.7232346534729004,1.1361552476882935,-3.4526031017303467,-0.5592420697212219,-6.3421735763549805,4.24313497543335,-9.847394943237305,0.1317487508058548,-1.997188925743103,3.941693067550659,-6.750545024871826,3.136157989501953,0.03157849609851837,0.023730944842100143,0.01304841972887516,0.05283096805214882,,,,,0.0,0.0,0.0,0.0,36.0,0.97,0.0,1.6517990827560425,0.0
001_1053791621,1,9,0.24857234954833984,0.17001494765281677,0.10577467083930969,0.5639244318008423,0.19975987076759338,0.07491511106491089,0.13110388815402985,0.2758850157260895,0.0054299356415867805,0.008350508287549019,0.0005714207072742283,0.008066044189035892,0.21040385961532593,0.05643337219953537,0.1497296690940857,0.27513861656188965,0.5383344292640686,0.11862781643867493,0.42165443301200867,0.7142981886863708,0.008572219870984554,0.003934881184250116,0.0039043922442942858,0.012944269925355911,0.10059064626693726,0.13683585822582245,0.0028655375353991985,0.3186686038970947,0.0005540447891689837,0.0032261675223708153,2.70349391939817e-06,0.0002580047585070133,0.07504740357398987,0.055369485169649124,0.034991879016160965,0.11952243000268936,0.00892949290573597,0.03130727261304855,0.0005825217231176794,0.010422949679195881,0.0051281992346048355,0.003902274649590254,0.0005821696249768138,0.010478629730641842,0.19430650770664215,0.19673919677734375,0.05768020823597908,0.4186754524707794,3.108280282049236e-07,2.8606126534214127e-07,1.0134625938462705e-07,6.066287596695474e-07,3.42847715728567e-06,1.6009973933250876e-06,1.7738018414092949e-06,5.2678528845717665e-06,0.06247119605541229,0.032348617911338806,0.03385794162750244,0.10384753346443176,-1.0923054218292236,1.8706059455871582,-2.9037177562713623,1.3325088024139404,-6.867985248565674,3.364785671234131,-11.427933692932129,-3.260956287384033,-2.12665057182312,3.8564987182617188,-8.16157341003418,2.16654109954834,0.033957526087760925,0.03984234482049942,0.011762840673327446,0.046190936118364334,,,,,0.0,0.0,0.0,0.0,36.0,0.99,0.01,2.017958164215088,0.0
