dx,modelo,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
ansiedad,rf,0.76,0.0382,0.4222,0.1415,0.505,0.0379,0.4472,0.0593,0.5716,0.1455
ansiedad,xgb,0.7175,0.0752,0.5272,0.1679,0.5274,0.087,0.5131,0.1083,0.5172,0.1498
ansiedad,svm,0.7025,0.0776,0.541,0.1281,0.5478,0.1051,0.5371,0.1106,0.5746,0.1358
