l1logreg,rf,xgb
0.6875,0.5833333333333333,0.5208333333333333
0.7083333333333334,0.8125,0.625
0.3125,0.5416666666666667,0.4791666666666667
0.6875,0.4375,0.3958333333333333
0.5897435897435898,0.5384615384615384,0.6153846153846154
0.5,0.4375,0.41666666666666663
0.625,0.5208333333333334,0.47916666666666663
0.5208333333333334,0.2708333333333333,0.4166666666666667
0.4583333333333333,0.625,0.6875
0.41025641025641024,0.33333333333333326,0.10256410256410253
0.6458333333333334,0.6458333333333333,0.7083333333333334
0.625,0.5625,0.5208333333333333
0.5625,0.5,0.4791666666666667
0.6666666666666667,0.5416666666666666,0.4375
0.5384615384615384,0.5897435897435898,0.48717948717948717
0.5625,0.6666666666666666,0.41666666666666663
0.41666666666666663,0.5208333333333334,0.4166666666666667
0.3125,0.49999999999999994,0.37499999999999994
0.49999999999999994,0.41666666666666663,0.3333333333333333
0.641025641025641,0.6153846153846154,0.5384615384615384
0.47916666666666663,0.47916666666666663,0.4375
0.5208333333333333,0.4375,0.3958333333333333
0.6041666666666666,0.5416666666666666,0.5625
0.3125,0.5,0.5208333333333333
0.6410256410256411,0.7692307692307692,0.717948717948718
