modelo,k,auc,auc_std,f1,acc
l1logreg,24,0.605,0.11,0.545,0.6
l1logreg,16,0.575,0.134,0.512,0.565
rf,24,0.561,0.128,0.526,0.677
rf,16,0.559,0.132,0.536,0.675
l1logreg,12,0.556,0.131,0.505,0.552
rf,12,0.55,0.15,0.551,0.682
xgb,12,0.546,0.167,0.542,0.69
xgb,16,0.542,0.167,0.527,0.69
xgb,24,0.532,0.152,0.531,0.69
xgb,8,0.523,0.189,0.515,0.657
l1logreg,8,0.522,0.136,0.496,0.537
rf,8,0.503,0.164,0.496,0.637
