feature,shap_importance
frown_mean,0.03151552457486136
nose_sneer_std,0.021031479573757724
brow_down_mean,0.019082132935027786
head_still_frac,0.018949169113673774
frown_std,0.017071114916137477
brow_down_std,0.01575129936393599
pitch_mean,0.01537355490708755
eye_squint_std,0.015204318114154037
expresividad_mean,0.013727060793808985
eye_wide_mean,0.012661105557713053
eye_squint_mean,0.012483963666864804
nose_sneer_mean,0.012355084754548813
head_motion_mean,0.011521609110622404
brow_inner_up_mean,0.010920008086071738
blink_mean,0.010900937897671029
mouth_open_frac,0.009201921919575473
brow_inner_up_std,0.008523716228507172
jaw_open_mean,0.008372209490460364
smile_mean,0.008189409455105216
smile_std,0.008176900063296568
gaze_out_mean,0.008174197345681583
mouth_press_mean,0.007928410137228562
cheek_squint_mean,0.007728548485548446
roll_mean,0.007227662188517682
expresividad_std,0.006764540799833946
gaze_up_mean,0.006581085767444093
hand_to_face_rate,0.006439794863222459
yaw_std,0.006378481823241198
pitch_std,0.006357030302185695
hand_visible_frac,0.006190944795240432
blink_rate_min,0.006136437111095907
gaze_up_std,0.005908797232546926
jaw_open_std,0.005856082792618469
hand_motion_mean,0.005828082717880113
eye_wide_std,0.005767607317488922
blink_std,0.005621409371059281
body_motion_mean,0.005407870325474547
gaze_out_std,0.005271557855860975
head_motion_std,0.005200797892273719
gaze_down_std,0.005099499810495633
body_motion_std,0.004922476890538608
cheek_squint_std,0.004872100743671887
gaze_down_mean,0.004800603004363814
roll_std,0.00459767479155571
mouth_press_std,0.004563719826065598
yaw_mean,0.003957426534864932
gaze_aversion_frac,0.0037716299909831275
hand_motion_std,0.00361251000089559
