feature,shap_importance
eye_squint_std,0.033625722705200076
frown_mean,0.02719342237565912
brow_inner_up_mean,0.023371550831764377
frown_std,0.020996519067212813
brow_inner_up_std,0.01908473289720418
brow_down_std,0.014365609990792252
gaze_up_std,0.014217654649970147
eye_squint_mean,0.013969822780747852
gaze_up_mean,0.012745275481489701
roll_mean,0.011048107909106672
nose_sneer_std,0.010757373938507803
gaze_aversion_frac,0.010403154554268467
pitch_mean,0.008651086938655388
mouth_open_frac,0.008286007683744889
nose_sneer_mean,0.007984465617060966
body_motion_mean,0.00777810161649901
eye_wide_std,0.0076206049502869164
eye_wide_mean,0.0074650004919110165
head_motion_std,0.007449905526601327
head_still_frac,0.0072924864468403875
jaw_open_std,0.0071104845676724215
hand_motion_mean,0.006985694403446435
gaze_down_mean,0.006927000360122874
blink_std,0.006682592961592201
expresividad_std,0.006652584591023576
body_motion_std,0.006647261297215279
gaze_down_std,0.006612465613279403
cheek_squint_std,0.006587343305935181
smile_std,0.006348552334019325
expresividad_mean,0.006196245826773918
hand_motion_std,0.006145984929598752
cheek_squint_mean,0.0060731053388542585
head_motion_mean,0.00602797627243399
pitch_std,0.005946188615614285
hand_visible_frac,0.005933639571504329
gaze_out_mean,0.0054465096963953906
blink_mean,0.0053910579210219795
mouth_press_std,0.0053251569863820005
brow_down_mean,0.005291123455615187
jaw_open_mean,0.005244920294221447
yaw_mean,0.00514540157878903
blink_rate_min,0.004607924641236634
mouth_press_mean,0.0044741607965648866
smile_mean,0.0044671021570902815
gaze_out_std,0.004083756804880047
hand_to_face_rate,0.0038889915587638434
yaw_std,0.0037464694605847545
roll_std,0.0035084718125735757
