l1logreg,rf,xgb
0.6727272727272727,0.4,0.4909090909090909
0.4375,0.375,0.5833333333333333
0.7708333333333334,0.7083333333333333,0.6666666666666667
0.75,0.4583333333333333,0.3958333333333333
0.7500000000000001,0.8333333333333334,0.8541666666666665
0.4545454545454546,0.5272727272727273,0.36363636363636365
0.7708333333333333,0.41666666666666663,0.3125
0.6666666666666666,0.5833333333333333,0.7083333333333333
0.5,0.5833333333333334,0.5
0.5624999999999999,0.5833333333333333,0.3125
0.5272727272727272,0.4,0.5454545454545455
0.6458333333333333,0.5833333333333334,0.5208333333333333
0.6875,0.7916666666666666,0.8541666666666666
0.6666666666666666,0.43750000000000006,0.22916666666666666
0.5625,0.5416666666666666,0.5625
0.6727272727272727,0.5636363636363636,0.45454545454545453
0.6875,0.5833333333333334,0.5833333333333333
0.6666666666666667,0.625,0.5208333333333334
0.5625,0.75,0.8333333333333334
0.5833333333333334,0.6458333333333334,0.6875
0.38181818181818183,0.45454545454545453,0.45454545454545453
0.45833333333333337,0.49999999999999994,0.5
0.5,0.37499999999999994,0.4166666666666667
0.6666666666666666,0.7291666666666666,0.7708333333333333
0.5208333333333334,0.5833333333333334,0.5208333333333333
