familia,aporte_relativo
formantes,0.48970553672969125
espectral,0.17138757686366585
MFCC,0.1439893028949743
F0/prosodia,0.076208643528721
loudness/energia,0.061432171413480334
calidad de voz,0.031984188726289206
temporal/tasa,0.02529257984317805
