metodo,auc_mean,auc_std,f1_mean,bacc_mean,n_folds,alpha_mean
soft_vote,0.6742,0.1143,0.6058,0.6097,25,
pond_grid,0.6491,0.1166,0.5643,0.5732,25,0.276
pond_auc,0.6422,0.1227,0.5661,0.5754,25,0.254
solo_video,0.6382,0.1106,0.5473,0.5536,25,
stack_logreg,0.6256,0.1352,0.5602,0.5904,25,
early_fusion,0.6188,0.1469,0.5023,0.5542,25,
solo_audio,0.5929,0.1232,0.5329,0.5508,25,
hard_vote,0.5867,0.1203,0.527,0.574,25,
stack_ann,0.5828,0.1322,0.4847,0.5228,25,
mayoria,0.5,0.0,0.4232,0.5,25,
